BuffID	MBV_NameID	MBV_TipsID	MBV_BuffType	MBV_BuffAttr	MBV_BuffRemove	MBV_BuffInummue	MBV_BuffCleanUp	MBV_BuffCleanUpGroup	MBV_BuffState	MBV_AttrValue	MBV_LayerCnt	MBV_DurationTime	MBV_BuffSkill	MBV_BuffSkillLv	MBV_BuffLogic	MBV_BuffSkillUserData	MBV_BuffLogicParam1	MBV_BuffLogicParam2	MBV_BuffLogicParam3	MBV_EffectID	MBV_EffectSurface	MBV_EffectAddID	MBV_EffectAddTime	MBV_EffectRemoveID	MBV_EffectRemoveTime	MBV_IconID
int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32
5006			0	274689	3	0	0	0	0	0	9	1000	0	0	1	0	0	0	0	0	0	0	0	0	0	22
5007			0	274689	3	0	0	0	128	0	9	1000	0	0	3	0	0	0	0	2	0	0	0	0	0	22
5008			0	274689	3	0	0	0	0	0	9	5000	0	0	1	0	0	0	0	0	0	0	0	0	0	22
5009			0	274689	3	0	0	0	0	0	9	6000	5013	0	3	0	0	0	0	0	0	0	0	0	0	22
5010			0	274689	3	0	0	0	0	0	9	7500	0	0	1	0	0	0	0	0	0	0	0	0	0	22
5011			0	274689	3	0	0	0	0	0	9	9000	0	0	1	0	0	0	0	0	0	0	0	0	0	22
5012			0	274689	3	0	0	0	0	0	9	9000	0	0	1	0	0	0	0	0	0	0	0	0	0	22
5013			0	274689	3	0	0	0	0	0	9	9000	0	0	1	0	0	0	0	0	0	0	0	0	0	22
5014			0	274689	3	0	0	0	0	0	9	1000	0	0	1	0	0	0	0	0	0	0	0	0	0	22
5101			0	274741	3	0	0	0	0	0	5	2000	0	0	1	0	0	0	0	0	0	0	0	0	0	22
5103			0	274741	3	0	0	0	0	0	5	2000	0	0	1	0	0	0	0	0	0	0	0	0	0	22
5106			0	274689	3	0	0	0	0	0	2	4000	0	0	1	0	0	0	0	0	0	0	0	0	0	22
5107			0	274689	3	0	0	0	0	0	5	5000	5109	0	1	0	0	0	0	0	0	0	0	0	0	22
5108			0	274689	3	0	0	0	0	0	5	5000	5110	0	1	0	0	0	0	0	0	0	0	0	0	22
5109			0	4194560	0	0	0	0	0	0	1	5000	0	0	1	0	0	0	0	0	0	0	0	0	0	22
5110			0	274689	3	0	0	0	0	0	9	1000	0	0	1	0	0	0	0	0	0	0	0	0	0	22
5111			0	274689	3	0	0	0	0	0	9	1000	0	0	1	0	0	0	0	0	0	0	0	0	0	22
5208			0	274689	3	0	0	0	0	0	1	15000	5210	0	1	0	0	0	0	0	0	0	0	0	0	22
5209			0	274689	3	0	0	0	0	0	1	6000	0	0	1	0	0	0	0	0	0	0	0	0	0	22
