QuestID	QuestTitleID	AcceptNpc	AcceptDlg	EventID	NextQuest	Period	AcceptCount	FinishCount	AcceptCheck	CanSeeCheck	QuestType	NameShowType	TeamFlag	QuestFlag	DescontentID	QuestActionLua
int32	int32	int32	int32	int32	char	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	char
999999	1999999	-1	-1	999999	1001	0	0	0	-1	-1		1	1	1	4999999	-1
1001	1001001	-1	-1	1001	1002	0	0	0	-1	-1		1	0	0	4001001	-1
1002	1001002	-1	-1	1002	1003	0	0	0	-1	-1		1	0	0	4001002	-1
1003	1001003	-1	-1	1003	1004	0	0	0	-1	-1		1	0	0	4001003	-1
1004	1001004	-1	-1	1004	1005	0	0	0	-1	-1		1	0	0	4001004	-1
1005	1001005	-1	-1	1005	1006	0	0	0	-1	-1		1	0	0	4001005	-1
1006	1001006	-1	-1	1006	1007	0	0	0	-1	-1		1	0	0	4001006	-1
1007	1001007	-1	-1	1007	1008	0	0	0	-1	-1		1	0	0	4001007	-1
1008	1001008	-1	-1	1008	1009	0	0	0	-1	-1		1	0	0	4001008	-1
1009	1001009	-1	-1	1009	1010	0	0	0	-1	-1		1	0	0	4001009	-1
1010	1001010	-1	-1	1010	1011	0	0	0	-1	-1		1	0	0	4001010	-1
1011	1001011	-1	-1	1011	1012	0	0	0	-1	-1		1	0	0	4001011	-1
1012	1001012	-1	-1	1012	-1	0	0	0	-1	-1		1	0	0	4001012	-1
