CardTeamID	CardList	TeamLevel	NextLevelID	LevelUpNeedItem1	ItemNum1	LevelUpNeedItem2	ItemNum2	LevelUpNeedItem3	ItemNum3	TeamName	TeamInfo	AttrID
int32	char	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32
1	11,12,13,14,15,16	0	1	0	0	0	0	0	0	200001	200005	0
1	11,12,13,14,15,16	1	2	40001	5	40002	5	0	0	200001	200005	0
1	11,12,13,14,15,16	2	3	40001	6	40002	6	0	0	200001	200004	0
1	11,12,13,14,15,16	3	4	40001	7	40002	7	0	0	200001	200002	0
1	11,12,13,14,15,16	4	5	40001	8	40002	8	0	0	200001	200001	0
1	11,12,13,14,15,16	5	0	0	0	0	0	0	0	200001	200003	0
2	21,22,23,24,25	0	1	0	0	0	0	0	0	200002	200005	0
2	21,22,23,24,25	1	2	40001	5	40002	5	0	0	200002	200005	0
2	21,22,23,24,25	2	3	40001	6	40002	6	0	0	200002	200004	0
2	21,22,23,24,25	3	4	40001	7	40002	7	0	0	200002	200002	0
2	21,22,23,24,25	4	5	40001	8	40002	8	0	0	200002	200001	0
2	21,22,23,24,25	5	0	0	0	0	0	0	0	200002	200003	0
