DataID	Data	ValueName	ComputeLevel	AbsoluteValue	ComputeMode	PercentValue
int32	int32	char	int32	f32	int32	f32
1	1	dm	1	10	0	0
1	1	hitr	1	1	0	0
5	1	hpmax	1	100	0	0
5	2	hpmax	1	150	0	0
7	1	dex	1	10	0	0
12	1	hpmax	1	100	0	0
103	1	spr	1	-0.7	0	0
106	1	hpmax	1	200000	0	0
5008	1	dhp	1	2000	0	0
5010	1	atk_d_r	1	0.2	0	0
5010	1	d_ac_r	1	0.2	0	0
5010	1	spr	1	0.2	0	0
5011	1	atk_d_r	1	0.2	0	0
5011	1	d_ac_r	1	0.2	0	0
5011	1	spr	1	0.2	0	0
5012	1	atk_d_r	1	0.2	0	0
5012	1	d_ac_r	1	0.2	0	0
5012	1	spr	1	0.2	0	0
5013	1	atk_d_r	1	0.2	0	0
5013	1	d_ac_r	1	0.2	0	0
5013	1	spr	1	0.2	0	0
5014	1	d_ac_r	1	-0.05	0	0
5015	1	be_dhp	1	5000	0	0
5101	1	atk_d_r	1	0.02	0	0
5103	1	d_ac_r	1	0.02	0	0
5106	1	atk_d_r	1	0.1	0	0
5110	1	dhp	1	200	0	0
5111	1	dr	1	0.1	0	0
5112	1	atk_d_r	1	0.3	0	0
5209	1	dr	1	0.2	0	0
5209	1	hhp_r	1	0.2	0	0
5210	1	hp_r	1	0.3	0	0
5601	1	atk_d_r	1	0.2	0	0
15001	1	spr	1	-0.08	0	0
15031	1	spr	1	0.2	0	0
15032	1	spr	1	-0.3	0	0
15106	1	spr	1	-0.2	0	0
15107	1	atk_d_r	1	-0.3	0	0
15201	1	ad_skill_r	1	0.1	0	0
15211	1	attr_atk	1	0.5	0	0
15211	1	attr	1	1000	0	0
15316	1	dr	1	0.2	0	0
15317	1	spr	1	0.2	0	0
35005	1	spr	1	0.3	0	0
