ID	avatardid	title	level	vocation	sex	operatemode	camp	modid	hp	sp	vp	binginggold	gold	yuanbao	collisiontype	bindingyuanbao	onlinetime	lastlandtime	lastdowntime	lastvuptime	wearingtime	dirx	diry	dirz	baselogicid	basedataid	damagelogic	damagedata	environment	sceneid	evilvalue	bagslotcount	petcagevalidslotcount	deadlogicid	deaddataid	hairid	haircolor	facehairid	facehairecolor	faceid	borwcolor	mothcolor	eyecolor	height	skincolor	clothes	loginlogicid	logindataid	wuxingstate	teamid	talentpoint	active_project_num	cur_project	talentpointex1	talentpointex2	talentpointex3	ev	evmax	energypoint
int32	int64	char	int32	int32	int32	int32	int32	int32	f32	f32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	f32	f32	f32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	f32	f32	f32
0	0	Haha	1	0	1	0	1	2	100	1000	1000	0	0	0	20	0	0	0	0	0	0	-0.25	0.9	0	1900	0	1800	0	0	131072	0	28	1	1910	0	0	0	0	0	0	0	0	0	0	0	0	1921	0	0	0	0	1	0	0	0	0	1000	1000
1	0	Heihei	1	0	2	0	1	4	100	1000	1000	0	0	0	20	0	0	0	0	0	0	-0.25	0.9	0	1900	0	1800	0	0	131072	0	28	1	1910	0	0	0	0	0	0	0	0	0	0	0	0	1921	0	0	0	0	1	0	0	0	0	1000	1000
2	1	HOHO	1	1	1	0	1	3	100	1000	1000	0	0	0	20	0	0	0	0	0	0	-0.25	0.9	0	1900	0	1800	0	0	131072	0	28	1	1910	0	0	0	0	0	0	0	0	0	0	0	0	1921	0	0	0	0	1	0	0	0	0	1000	1000
3	1	Heihei	1	1	2	0	1	1	100	1000	1000	0	0	0	20	0	0	0	0	0	0	-0.25	0.9	0	1900	0	1800	0	0	131072	0	28	1	1910	0	0	0	0	0	0	0	0	0	0	0	0	1921	0	0	0	0	1	0	0	0	0	1000	1000
4	2	Haha	1	2	1	0	1	3	100	1000	1000	0	0	0	20	0	0	0	0	0	0	-0.25	0.9	0	1900	0	1800	0	0	131072	0	28	1	1910	0	0	0	0	0	0	0	0	0	0	0	0	1921	0	0	0	0	1	0	0	0	0	1000	1000
5	2	Heihei	1	2	2	0	1	1	100	1000	1000	0	0	0	20	0	0	0	0	0	0	-0.25	0.9	0	1900	0	1800	0	0	131072	0	28	1	1910	0	0	0	0	0	0	0	0	0	0	0	0	1921	0	0	0	0	1	0	0	0	0	1000	1000
6	3	Heihei	1	3	1	0	1	2	100	1000	1000	0	0	0	21	0	0	0	0	0	0	-0.25	0.9	0	1900	0	1800	0	0	131072	0	28	1	1910	0	0	0	0	0	0	0	0	0	0	0	0	1921	0	0	0	0	1	0	0	0	0	1000	1000
7	3	HOHO	1	3	2	0	1	4	100	1000	1000	0	0	0	21	0	0	0	0	0	0	-0.25	0.9	0	1900	0	1800	0	0	131072	0	28	1	1910	0	0	0	0	0	0	0	0	0	0	0	0	1921	0	0	0	0	1	0	0	0	0	1000	1000
8	4	HOHO	1	4	2	0	1	3	100	1000	1000	0	0	0	21	0	0	0	0	0	0	-0.25	0.9	0	1900	0	1800	0	0	131072	0	28	1	1910	0	0	0	0	0	0	0	0	0	0	0	0	1921	0	0	0	0	1	0	0	0	0	1000	1000
9	4	HOHO	1	4	2	0	1	1	100	1000	1000	0	0	0	21	0	0	0	0	0	0	-0.25	0.9	0	1900	0	1800	0	0	131072	0	28	1	1910	0	0	0	0	0	0	0	0	0	0	0	0	1921	0	0	0	0	1	0	0	0	0	1000	1000
10	5	HOHO	1	5	2	0	1	4	100	1000	1000	0	0	0	21	0	0	0	0	0	0	-0.25	0.9	0	1900	0	1800	0	0	131072	0	28	1	1910	0	0	0	0	0	0	0	0	0	0	0	0	1921	0	0	0	0	1	0	0	0	0	1000	1000
100	0	U3d	1	0	1	0	1	30000	100	1000	1000	0	0	0	20	0	0	0	0	0	0	-0.25	0.9	0	1900	0	1800	0	0	131072	0	28	1	1910	0	0	0	0	0	0	0	0	0	0	0	0	1921	0	0	0	0	1	0	0	0	0	1000	1000
