ParamID	name	AValue	remark	type	defaultvalue	max	min	flag	MySqlFlag
int32	char	int32	char	char	char	char	char	int32	int32
0	avatardid	0	avatardid	int64		default	default	100663417	1
0	title	0	??	Char64		255	0	100663353	0
0	level	0	??	uint8		255	0	234881337	0
0	vocation	0	??	uint8		255	0	100663353	0
0	sex	0	??	int8			0	33554489	0
0	camp	0	??	int8		100	-1	185	0
0	tempcamp	0	????	int8		100	-1	281	0
0	pkmode	0	PK??	uint8	0	4	0	313	0
0	modid	0		int32		30000	0	25	0
0	target_id	0		int32	0	default	default	25	0
0	leveltimestamp	0	?????	uint32	0		0	33	0
0	battlecardidset	0	出战卡牌集合	uint64	0	default	0	57	0
0	viplevel	0	vip??	uint8	0	255	0	201326905	0
0	guildid	0	??id	int64	0			57	0
0	guildtitle	0	????	Char32		255	0	25	0
0	guildbill	0	?????	int32		default	0	25	0
0	currentexp	0	?????	int64	0	default	default	201326889	0
0	binginggold	0	????	uint32		4294967294	0	201326633	0
0	gold	0	??	uint32		4294967294	0	201326633	0
0	yuanbao	0	??	uint32		100000000	0	201326633	0
0	bindingyuanbao	0	????	uint32		100000000	0	201326633	0
0	yuanbao_t	0	??????	int32	0	default	0	67108905	0
0	yuanbao_c	0	??????	int32	0	default	0	67108905	0
0	downcoordinatex	0		f32		2048	0	33	0
0	downcoordinatey	0		f32		2048	0	33	0
0	downcoordinatez	0		f32		2048	0	33	0
0	onlinetime	0		uint32		4294967295	0	41	0
0	lastlandtime	0		uint32				41	0
0	lastdowntime	0		uint32				100663337	0
0	lastvuptime	0		uint32				33	0
0	create_time	0	??????	uint32	0	4294967294	0	33554529	0
0	del_time	0	?????	uint32	0	4294967294	0	33554537	0
0	dirx	0		f32		default	-1	17	0
0	diry	0		f32		default	-1	17	0
0	dirz	0		f32		default	-1	17	0
0	sceneid	0		int32		default	default	33554473	0
0	accountname	0		Char64		default	-1	33554537	0
0	teamid	0	??ID	int64	0	default	default	169	0
0	bagslotcount	0		int16		32767	-1	47	0
0	evilvalue	0		uint32		default	0	201326905	0
0	hairid	0		int32	-1	default	-1	33	0
0	haircolor	0		int8	0	127	-1	33	0
0	faceid	0		int32	-1	default	-1	33	0
0	clothes	0		int32	-1	default	-1	33	0
0	hp	0	?????	f32	2147483647	default	0	201326649	0
0	hpmax	1	?????	f32		default	0	67108889	0
0	vp	0	?????	f32	0	65535	0	218103849	0
0	vpmax	1	?????	f32		65535	0	16777225	0
0	fc	0	???	uint32	1	4294967294	0	16777257	0
0	enh0	0	????0 ????	uint64	0			16777257	0
0	enh1	0	????1 ????	uint64	0			16777257	0
0	enh2	0	????2 ????	uint64	0			16777257	0
0	webregister	0	weibo??	int32	0			41	0
0	titleflag	0		Char64		255	0	41	0
0	titlestr	0		Char32		255	0	57	0
0	titleid	0		int32		65535	-1	57	0
0	titleaid	0		int32		65535	-1	41	0
0	titlepoint	0		int32		65535	-1	9	0
0	activeval	0	???	int32	0			201326633	0
0	actvalue	0	???	int32	0	100	0	41	0
0	actaward	0	??????	int32	0	65535	0	41	0
0	enrvalue	0	???	int32	0	100	0	201326633	0
0	actweekvalue	0	????	int32	0	7	0	41	0
0	dayupdatetime	0	?????	uint32	0	default	0	33	0
0	weekupdatetime	0	?????	uint32	0	default	0	33	0
0	TokenID	0	????	uint16	0			1	0
0	atk_d	1	攻击力	f32	0			9	0
0	atk_d_r	1	攻击精通效果	f32	0			9	0
0	dm	1	附加伤害	f32	0			9	0
0	dr	1	伤增	f32	0			9	0
0	dhp	1	会心等级	f32	0			9	0
0	dhr	1	会心加成	f32	0			9	0
0	dhcr	1	会心效果	f32	0			9	0
0	threat_r	1	仇恨加成	f32	0			9	0
0	threat	1	仇恨值	f32	0			9	0
0	d_ac	1	护甲	f32	0			9	0
0	d_ac_r	1	护甲精通	f32	0			9	0
0	da	1	伤害吸收	f32	0			9	0
0	cdr	1	伤减	f32	0			9	0
0	be_dhp	1	坚韧等级	f32	0			9	0
0	be_dhr	1	坚韧加成	f32	0			9	0
0	be_dhcr	1	会心伤害减免	f32	0			9	0
0	hp_r	1	生命精通	f32	0			9	0
0	hhp_r	1	治疗效果	f32	0			9	0
0	be_hhp_r	1	承受治疗效果	f32	0			9	0
0	spr	1	移动速度加成	f32	0	10	-1	281	0
0	energypoint	1	能量值	f32	0			9	0
0	shield	1	护盾值	f32	0			25	0
0	ep1	1	EP1	f32		65535	0	25	0
0	ep1max	1	EP1Max	f32		65535	0	25	0
0	ep2	1	EP2	f32		65535	0	25	0
0	ep2max	1	EP2Max	f32		65535	0	25	0
0	counter	1	克制属性	int8		default	0	281	0
0	tempcounter	1	临时克制属性	int8		default	0	281	0
0	practicelevel	0	修炼等级	int32	0	default	0	234881337	0
0	cardpresetgrp0	0	预设卡组0	uint64	0	default	0	57	0
0	cardpresetgrp1	0	预设卡组1	uint64	0	default	0	57	0
0	cardpresetgrp2	0	预设卡组2	uint64	0	default	0	57	0
0	cardpresetgrp3	0	预设卡组3	uint64	0	default	0	57	0
0	cardpresetgrp4	0	预设卡组4	uint64	0	default	0	57	0
0	cardpresetgrp5	0	预设卡组5	uint64	0	default	0	57	0
0	cardpresetname0	0	预设卡组名称0	Char32		default	0	57	0
0	cardpresetname1	0	预设卡组名称1	Char32		default	0	57	0
0	cardpresetname2	0	预设卡组名称2	Char32		default	0	57	0
0	cardpresetname3	0	预设卡组名称3	Char32		default	0	57	0
0	cardpresetname4	0	预设卡组名称4	Char32		default	0	57	0
0	cardpresetname5	0	预设卡组名称5	Char32		default	0	57	0
0	scene2presetpve	0	pve场景卡组	uint64	0	default	0	57	0
0	scene2presettower	0	刷塔卡组	uint64	0	default	0	57	0
0	scene2presetpvp	0	pvp场景卡组	uint64	0	default	0	57	0
1	titleid	0		uint32		default	0	17	0
1	level	0		uint8		255	0	17	0
1	vocation	0		uint8		127	0	0	0
1	camp	0		int8		100	-1	17	0
1	sex	0		int8		0	0	0	0
1	modid	0		int32		30000	0	17	0
1	tempcamp	0		int8		100	-1	17	0
1	part_enable_mask	0		int32		default	-1	17	0
1	part_break_mask	0		int32		default	-1	17	0
1	target_id	0		int32		default	default	25	0
1	hp	0		f32		default	0	17	0
1	hpmax	0		f32		default	default	17	0
1	movespeed	0		f32		default	0	0	0
1	counter	1	克制属性	int8		default	0	17	0
1	tempcounter	1	临时克制属性	int8		default	0	17	0
1	sceneuid	0		int32		default	-1	17	0
1	masterid	0		int32	0	default		17	0
1	npcexp	0		int32		default	0	0	0
1	npcexpparam	0		f32		10000	0	0	0
